Date,Close/Last,Volume,Open,High,Low
12/07/2020,$147.42,2637180,$147.30,$148.33,$146.48
12/04/2020,$148.45,3058757,$144.07,$148.72,$144.00
12/03/2020,$144.11,4059610,$145.70,$146.50,$143.13
12/02/2020,$145.16,3757360,$145.36,$147.09,$144.38
12/01/2020,$145.56,3954412,$146.69,$148.06,$145.26
11/30/2020,$145.65,5842198,$146.34,$148.17,$144.90
11/27/2020,$147.44,1753995,$145.65,$147.92,$145.36
11/25/2020,$144.75,3223766,$144.90,$145.34,$142.61
11/24/2020,$144.90,4127874,$143.39,$145.64,$143.11
11/23/2020,$143.38,3794513,$145.54,$145.62,$141.16
11/20/2020,$145.49,5064305,$142.84,$147.09,$142.84
11/19/2020,$143.41,4626099,$140.25,$143.89,$138.92
11/18/2020,$140.17,2795172,$141.90,$142.42,$140.13
11/17/2020,$141.20,3619448,$139.57,$141.96,$138.61
11/16/2020,$140.59,4957963,$143.06,$144.30,$140.00
11/13/2020,$142.38,2144882,$142.43,$143.21,$141.3201
11/12/2020,$141.03,3464669,$142.93,$143.46,$139.86
11/11/2020,$144.76,3046843,$147.76,$147.76,$143.37
11/10/2020,$146.56,5376964,$147.60,$149.20,$143.79
11/09/2020,$142.33,5493775,$142.54,$144.75,$140.60
11/06/2020,$142.74,6229782,$145.05,$147.39,$139.10
11/05/2020,$145.52,5730964,$147.68,$148.81,$144.70
11/04/2020,$148.59,12211680,$134.905,$151.98,$134.905
11/03/2020,$130.98,3628832,$133.64,$134.07,$130.70
11/02/2020,$131.63,3449595,$132.54,$133.95,$129.99
10/30/2020,$130.46,4336046,$131.76,$133.105,$129.21
10/29/2020,$132.55,4099914,$132.00,$133.13,$130.38
10/28/2020,$131.31,6188028,$130.455,$134.1008,$130.31
10/27/2020,$131.90,11374610,$133.02,$136.08,$131.87
10/26/2020,$141.70,2947097,$141.90,$142.2899,$140.05
10/23/2020,$142.38,2427462,$142.24,$144.70,$141.72
10/22/2020,$141.65,3057821,$141.53,$142.265,$140.80
10/21/2020,$141.31,1983653,$142.29,$143.33,$141.21
10/20/2020,$143.59,2188844,$143.36,$144.12,$142.11
10/19/2020,$142.80,3158872,$147.00,$147.4088,$142.21
