Date,Close/Last,Volume,Open,High,Low
07/19/2021,$44.165,2057546,$43.96,$44.284,$43.9269
07/16/2021,$44.33,1773660,$43.895,$44.3925,$43.79
07/15/2021,$43.805,1518074,$43.885,$43.9062,$43.6025
07/14/2021,$43.47,1166514,$43.265,$43.52,$43.075
07/13/2021,$43.33,814986,$43.1775,$43.475,$43.165
07/12/2021,$43.30,1105788,$43.405,$43.58,$43.225
07/09/2021,$43.27,2095066,$42.89,$43.61,$42.865
07/08/2021,$43.55,1968304,$43.395,$43.56,$43.055
07/07/2021,$43.13,1386544,$42.905,$43.15,$42.715
07/06/2021,$42.525,1543280,$42.625,$42.6375,$42.275
07/02/2021,$42.405,930926,$41.955,$42.405,$41.93
07/01/2021,$42.21,1330420,$42.095,$42.30,$41.97
06/30/2021,$41.885,1506594,$41.935,$42.295,$41.785
06/29/2021,$41.90,1323264,$41.93,$42.025,$41.7167
06/28/2021,$41.63,1147010,$41.48,$41.795,$41.41
06/25/2021,$41.40,1577336,$41.18,$41.44,$41.055
06/24/2021,$41.10,877340,$41.145,$41.445,$41.0733
06/23/2021,$40.825,1172810,$41.285,$41.285,$40.825
06/22/2021,$41.08,1629542,$41.165,$41.275,$41.02
06/21/2021,$41.325,1402650,$41.11,$41.49,$41.05
06/18/2021,$41.14,1799774,$41.105,$41.245,$40.9725
06/17/2021,$41.385,1992026,$41.075,$41.45,$41.055
06/16/2021,$41.815,2287962,$42.20,$42.405,$41.705
06/15/2021,$42.285,1252328,$42.295,$42.365,$42.025
06/14/2021,$42.215,1698666,$42.02,$42.22,$42.005
06/11/2021,$42.225,1578172,$42.13,$42.245,$41.93
06/10/2021,$42.38,2307724,$41.875,$42.47,$41.82
06/09/2021,$41.745,2828398,$41.555,$41.79,$41.55
06/08/2021,$41.14,2248854,$41.205,$41.225,$40.87
06/07/2021,$40.60,4839614,$40.715,$40.955,$40.355
06/04/2021,$40.475,1820424,$40.075,$40.6291,$39.92
06/03/2021,$39.84,882878,$39.405,$39.84,$39.355
06/02/2021,$39.425,818274,$39.425,$39.595,$39.37
06/01/2021,$39.595,1721780,$40.10,$40.10,$39.495
05/28/2021,$39.45,1494832,$39.405,$39.7702,$39.355
05/27/2021,$39.41,1963820,$39.535,$39.81,$39.36
05/26/2021,$40.17,1622022,$40.225,$40.29,$40.0825
05/25/2021,$40.19,2254356,$40.535,$40.58,$40.175
05/24/2021,$40.85,1010496,$40.81,$41.115,$40.795
05/21/2021,$40.65,1650596,$40.75,$40.81,$40.555
05/20/2021,$40.415,1414826,$40.05,$40.6011,$40.01
05/19/2021,$40.025,2395246,$39.835,$40.14,$39.6675
05/18/2021,$39.82,1974290,$40.005,$40.14,$39.81
05/17/2021,$40.29,1882002,$39.925,$40.36,$39.92
05/14/2021,$39.55,1588330,$39.50,$39.735,$39.50
05/13/2021,$39.445,2580570,$38.925,$39.49,$38.76
05/12/2021,$39.02,3556704,$38.59,$39.09,$38.555
05/11/2021,$38.31,2232420,$37.80,$38.415,$37.72
05/10/2021,$38.14,1923400,$38.235,$38.3329,$38.025
05/07/2021,$37.83,1492376,$37.52,$37.89,$37.52
05/06/2021,$37.10,1556864,$36.92,$37.11,$36.765
05/05/2021,$37.035,1577804,$37.00,$37.23,$36.825
05/04/2021,$37.065,2285354,$37.075,$37.235,$36.835
05/03/2021,$37.67,2921586,$37.54,$37.735,$37.45
04/30/2021,$36.975,1611560,$37.005,$37.31,$36.945
04/29/2021,$37.12,1207650,$37.045,$37.1575,$36.86
04/28/2021,$37.06,1117542,$36.805,$37.105,$36.76
04/27/2021,$36.84,1991924,$36.83,$36.885,$36.6225
04/26/2021,$37.05,1255908,$36.875,$37.095,$36.665
04/23/2021,$37.03,1066526,$37.025,$37.075,$36.825
04/22/2021,$37.075,1310852,$37.095,$37.254,$36.93
04/21/2021,$37.115,1442340,$36.785,$37.19,$36.68
04/20/2021,$36.64,1373164,$36.455,$36.6975,$36.38
04/19/2021,$36.35,1491132,$36.38,$36.41,$36.195
04/16/2021,$36.085,2641222,$36.095,$36.205,$35.955
04/15/2021,$35.755,1944200,$35.59,$35.945,$35.59
04/14/2021,$35.275,1913006,$35.61,$35.63,$35.12
04/13/2021,$35.385,1627158,$35.26,$35.45,$35.15
04/12/2021,$34.73,1147732,$34.745,$34.865,$34.645
04/09/2021,$35.06,1801754,$35.015,$35.1025,$34.845
04/08/2021,$34.625,1780808,$34.49,$34.70,$34.47
04/07/2021,$33.945,1615324,$34.22,$34.25,$33.76
04/06/2021,$34.015,1225450,$34.14,$34.2571,$33.9775
04/05/2021,$34.165,1140856,$33.80,$34.17,$33.775
04/01/2021,$33.83,968244,$34.06,$34.255,$33.715
03/31/2021,$33.71,2059430,$34.30,$34.305,$33.66
03/30/2021,$33.96,1522974,$34.025,$34.053,$33.765
03/29/2021,$34.215,1602042,$33.97,$34.39,$33.935
03/26/2021,$33.89,1656820,$33.51,$33.89,$33.295
03/25/2021,$33.725,1425156,$33.75,$33.84,$33.405
03/24/2021,$33.53,2926800,$34.15,$34.17,$33.45
03/23/2021,$33.995,2566410,$34.69,$34.86,$33.88
03/22/2021,$35.525,1564660,$35.42,$35.775,$35.42
03/19/2021,$35.175,1589764,$35.425,$35.53,$35.145
03/18/2021,$35.455,1455058,$35.375,$35.725,$35.31
03/17/2021,$35.89,1053388,$35.755,$35.98,$35.5475
03/16/2021,$36.325,1048108,$36.045,$36.39,$36.045
03/15/2021,$36.045,1223598,$35.69,$36.045,$35.625
03/12/2021,$35.505,1419698,$35.495,$35.525,$35.265
03/11/2021,$35.935,1285394,$35.95,$36.085,$35.75
03/10/2021,$35.865,1646256,$36.105,$36.1675,$35.785
03/09/2021,$35.36,2942530,$35.28,$35.64,$35.265
03/08/2021,$34.415,2132986,$34.52,$34.895,$34.3875
03/05/2021,$34.805,2645792,$34.62,$34.89,$33.96
03/04/2021,$34.61,3482444,$35.00,$35.3425,$34.285
03/03/2021,$35.73,1503926,$35.85,$35.91,$35.485
03/02/2021,$36.34,985488,$36.42,$36.50,$36.195
03/01/2021,$36.415,1636340,$36.265,$36.575,$36.195
02/26/2021,$35.625,1746386,$36.08,$36.12,$35.505
02/25/2021,$36.17,2143744,$36.38,$36.50,$36.095
02/24/2021,$36.095,1729984,$36.00,$36.345,$35.83
02/23/2021,$35.84,2121462,$35.83,$35.935,$35.595
02/22/2021,$36.375,1677652,$36.60,$36.685,$36.3475
02/19/2021,$37.04,3125940,$37.155,$37.29,$36.935
02/18/2021,$37.545,2330192,$37.475,$37.625,$37.195
02/17/2021,$37.785,2645014,$37.325,$37.825,$37.28
02/16/2021,$37.53,3971386,$37.53,$37.725,$37.23
02/12/2021,$37.91,3841172,$36.95,$37.9301,$36.95
02/11/2021,$36.965,5003982,$36.83,$37.0344,$36.54
02/10/2021,$35.59,1604068,$35.78,$35.785,$35.24
02/09/2021,$35.635,1609702,$35.825,$35.885,$35.44
02/08/2021,$35.445,2433026,$35.685,$35.70,$35.225
02/05/2021,$35.70,2322576,$35.615,$35.715,$35.385
02/04/2021,$35.815,2882046,$36.145,$36.16,$35.695
02/03/2021,$36.205,2839408,$36.48,$36.66,$36.145
02/02/2021,$35.485,2501258,$35.53,$35.605,$35.245
02/01/2021,$35.205,1787212,$35.395,$35.435,$35.135
01/29/2021,$34.80,2329410,$34.96,$35.045,$34.49
01/28/2021,$35.30,2081926,$35.385,$35.95,$35.285
01/27/2021,$34.985,2322318,$35.795,$35.91,$34.975
01/26/2021,$36.635,1559544,$36.665,$36.815,$36.525
01/25/2021,$36.59,1112806,$36.34,$36.6525,$36.33
01/22/2021,$36.415,1594974,$36.065,$36.605,$35.955
01/21/2021,$36.26,1923254,$36.34,$36.365,$35.995
01/20/2021,$35.99,2082398,$36.175,$36.27,$35.87
01/19/2021,$36.51,2002916,$36.685,$36.685,$36.27
01/15/2021,$36.015,2023318,$35.865,$36.145,$35.695
01/14/2021,$35.515,1675922,$35.38,$35.655,$35.34
01/13/2021,$35.45,2552028,$35.08,$35.705,$35.06
01/12/2021,$34.665,3116034,$34.89,$34.99,$34.37
01/11/2021,$35.21,1079036,$35.205,$35.315,$35.08
01/08/2021,$35.13,1130056,$35.07,$35.17,$34.87
01/07/2021,$35.045,1414042,$34.89,$35.115,$34.57
01/06/2021,$34.465,2121352,$34.655,$34.8945,$34.395
01/05/2021,$35.385,1750966,$35.41,$35.455,$34.87
01/04/2021,$35.715,4629600,$35.595,$35.765,$35.28
12/31/2020,$34.925,1027590,$34.92,$35.045,$34.60
12/30/2020,$35.10,1491690,$35.53,$35.59,$34.9885
12/29/2020,$35.29,2548724,$35.595,$35.595,$35.195
12/28/2020,$35.125,2513284,$35.73,$35.73,$34.9705
12/24/2020,$34.715,555044,$34.89,$34.94,$34.665
12/23/2020,$34.81,1773050,$35.13,$35.14,$34.77
12/22/2020,$35.31,1729532,$35.58,$35.625,$35.195
12/21/2020,$35.95,2277062,$36.02,$36.04,$35.7475
12/18/2020,$36.90,3340834,$36.565,$36.96,$36.32
12/17/2020,$35.865,2730664,$35.955,$36.0475,$35.77
12/16/2020,$35.92,3293508,$36.13,$36.22,$35.89
12/15/2020,$34.74,2290652,$34.62,$34.78,$34.515
12/14/2020,$34.36,2130644,$34.85,$34.985,$34.35
12/11/2020,$34.77,1234886,$34.69,$34.845,$34.58
12/10/2020,$34.64,1974180,$35.075,$35.1325,$34.49
12/09/2020,$35.125,3013766,$35.225,$35.23,$34.87
12/08/2020,$34.29,996850,$33.89,$34.35,$33.855
12/07/2020,$34.105,1319486,$34.345,$34.415,$34.03
12/04/2020,$33.905,1124916,$33.885,$34.11,$33.82
12/03/2020,$33.605,1114252,$33.88,$33.885,$33.51
12/02/2020,$34.07,1209420,$33.835,$34.235,$33.795
12/01/2020,$33.755,1532332,$33.41,$33.85,$33.375
11/30/2020,$33.565,3651528,$34.01,$34.02,$33.445
11/27/2020,$33.77,2550908,$33.27,$33.825,$33.255
11/25/2020,$33.07,1694102,$32.925,$33.085,$32.85
11/24/2020,$32.96,2041122,$33.02,$33.175,$32.875
11/23/2020,$33.70,2353722,$33.615,$33.72,$33.405
